"length","sau","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
152,"10",3,0,4,3,0,0,0,0,0,0,0,16,29,18,2,17,26,17,72,18,39,96,48,62,118,0,0,0,0,0,47
154,"10",8,0,6,9,0,0,0,0,0,0,0,16,32,22,4,26,30,26,94,16,38,101,49,64,128,0,0,0,0,0,59
156,"10",8,0,14,7,0,0,0,0,0,0,0,21,14,24,5,45,23,22,89,23,44,88,33,73,124,0,0,0,0,0,45
158,"10",4,0,5,7,0,0,0,0,0,0,0,19,32,24,4,21,28,26,80,12,45,103,38,81,147,0,0,0,0,0,50
160,"10",6,0,8,9,0,0,0,0,0,0,0,28,23,38,8,27,36,19,97,14,47,96,35,87,120,0,0,0,0,0,37
162,"10",4,0,5,9,0,0,0,0,0,0,0,29,29,42,6,21,42,27,79,4,37,75,34,89,103,0,0,0,0,0,28
164,"10",4,0,4,2,0,0,0,0,0,0,0,16,21,41,6,19,27,20,92,5,33,64,29,86,113,0,0,0,0,0,22
166,"10",10,0,6,7,0,0,0,0,0,0,0,21,23,38,7,27,27,26,80,5,23,65,25,100,95,0,0,0,0,0,21
168,"10",3,0,2,0,0,0,0,0,0,0,0,29,16,24,11,13,22,14,63,3,27,43,17,98,92,0,0,0,0,0,21
170,"10",4,0,1,8,0,0,0,0,0,0,0,28,10,26,11,22,18,14,70,1,22,33,22,81,78,0,0,0,0,0,15
172,"10",1,0,1,1,0,0,0,0,0,0,0,15,9,19,6,8,15,9,60,0,22,29,13,69,47,0,0,0,0,0,15
174,"10",1,0,0,0,0,0,0,0,0,0,0,14,15,12,8,9,12,8,35,1,16,28,9,77,53,0,0,0,0,0,11
176,"10",1,0,3,0,0,0,0,0,0,0,0,13,8,10,8,9,9,8,36,0,14,22,12,69,41,0,0,0,0,0,10
178,"10",3,0,0,1,0,0,0,0,0,0,0,5,7,9,1,9,5,5,28,0,4,18,6,51,18,0,0,0,0,0,11
180,"10",2,0,0,0,0,0,0,0,0,0,0,4,3,3,4,11,5,2,12,1,8,8,5,41,18,0,0,0,0,0,7
182,"10",0,0,0,0,0,0,0,0,0,0,0,2,5,3,2,6,2,1,18,0,8,10,3,43,15,0,0,0,0,0,4
184,"10",0,0,0,0,0,0,0,0,0,0,0,3,10,3,0,5,3,0,7,0,5,3,5,18,5,0,0,0,0,0,6
186,"10",0,0,0,1,0,0,0,0,0,0,0,1,2,0,1,5,0,0,10,0,5,2,3,23,4,0,0,0,0,0,3
188,"10",0,0,0,0,0,0,0,0,0,0,0,3,3,2,0,3,0,0,7,0,2,5,2,10,11,0,0,0,0,0,0
190,"10",1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,1,5,3,17,11,0,0,0,0,0,0
192,"10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,1,1,3,11,4,0,0,0,0,0,1
194,"10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,3,0,0,0,0,0,0
196,"10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,2,0,0,0,0,0,1
